General Index,Voltage,Sensor
186,837,fotorresistencia_data.csv
187,837,fotorresistencia_data.csv
188,836,fotorresistencia_data.csv
189,834,fotorresistencia_data.csv
190,830,fotorresistencia_data.csv
191,829,fotorresistencia_data.csv
192,828,fotorresistencia_data.csv
193,828,fotorresistencia_data.csv
194,823,fotorresistencia_data.csv
195,819,fotorresistencia_data.csv
196,822,fotorresistencia_data.csv
197,821,fotorresistencia_data.csv
198,824,fotorresistencia_data.csv
199,825,fotorresistencia_data.csv
200,824,fotorresistencia_data.csv
201,820,fotorresistencia_data.csv
202,820,fotorresistencia_data.csv
203,821,fotorresistencia_data.csv
204,824,fotorresistencia_data.csv
205,822,fotorresistencia_data.csv
206,823,fotorresistencia_data.csv
207,826,fotorresistencia_data.csv
208,830,fotorresistencia_data.csv
209,830,fotorresistencia_data.csv
210,832,fotorresistencia_data.csv
211,832,fotorresistencia_data.csv
212,834,fotorresistencia_data.csv
213,833,fotorresistencia_data.csv
214,833,fotorresistencia_data.csv
215,832,fotorresistencia_data.csv
216,830,fotorresistencia_data.csv
217,829,fotorresistencia_data.csv
218,831,fotorresistencia_data.csv
219,832,fotorresistencia_data.csv
220,832,fotorresistencia_data.csv
221,825,fotorresistencia_data.csv
222,831,fotorresistencia_data.csv
223,833,fotorresistencia_data.csv
224,826,fotorresistencia_data.csv
225,825,fotorresistencia_data.csv
226,678,fotorresistencia_data.csv
227,316,fotorresistencia_data.csv
228,308,fotorresistencia_data.csv
229,308,fotorresistencia_data.csv
230,308,fotorresistencia_data.csv
231,308,fotorresistencia_data.csv
232,308,fotorresistencia_data.csv
233,309,fotorresistencia_data.csv
234,309,fotorresistencia_data.csv
235,309,fotorresistencia_data.csv
236,309,fotorresistencia_data.csv
237,309,fotorresistencia_data.csv
238,309,fotorresistencia_data.csv
239,309,fotorresistencia_data.csv
240,309,fotorresistencia_data.csv
241,309,fotorresistencia_data.csv
242,309,fotorresistencia_data.csv
243,309,fotorresistencia_data.csv
244,308,fotorresistencia_data.csv
245,309,fotorresistencia_data.csv
246,309,fotorresistencia_data.csv
247,309,fotorresistencia_data.csv
248,309,fotorresistencia_data.csv
249,310,fotorresistencia_data.csv
250,310,fotorresistencia_data.csv
251,310,fotorresistencia_data.csv
252,310,fotorresistencia_data.csv
253,310,fotorresistencia_data.csv
254,310,fotorresistencia_data.csv
255,310,fotorresistencia_data.csv
256,309,fotorresistencia_data.csv
257,309,fotorresistencia_data.csv
258,310,fotorresistencia_data.csv
259,309,fotorresistencia_data.csv
260,310,fotorresistencia_data.csv
261,310,fotorresistencia_data.csv
262,309,fotorresistencia_data.csv
263,310,fotorresistencia_data.csv
264,310,fotorresistencia_data.csv
265,309,fotorresistencia_data.csv
266,309,fotorresistencia_data.csv
267,310,fotorresistencia_data.csv
268,310,fotorresistencia_data.csv
269,310,fotorresistencia_data.csv
270,310,fotorresistencia_data.csv
271,310,fotorresistencia_data.csv
272,310,fotorresistencia_data.csv
273,310,fotorresistencia_data.csv
274,310,fotorresistencia_data.csv
275,310,fotorresistencia_data.csv
276,310,fotorresistencia_data.csv
277,310,fotorresistencia_data.csv
278,310,fotorresistencia_data.csv
279,310,fotorresistencia_data.csv
280,312,fotorresistencia_data.csv
281,310,fotorresistencia_data.csv
282,310,fotorresistencia_data.csv
283,310,fotorresistencia_data.csv
284,312,fotorresistencia_data.csv
285,312,fotorresistencia_data.csv
286,312,fotorresistencia_data.csv
287,312,fotorresistencia_data.csv
288,312,fotorresistencia_data.csv
289,312,fotorresistencia_data.csv
290,312,fotorresistencia_data.csv
291,312,fotorresistencia_data.csv
292,312,fotorresistencia_data.csv
293,312,fotorresistencia_data.csv
294,312,fotorresistencia_data.csv
295,312,fotorresistencia_data.csv
296,313,fotorresistencia_data.csv
297,313,fotorresistencia_data.csv
298,313,fotorresistencia_data.csv
299,313,fotorresistencia_data.csv
300,313,fotorresistencia_data.csv
