Index,Voltage
520,1022.0
521,1022.0
522,1021.0
523,1016.0
524,1013.0
525,1016.0
526,1018.0
527,1017.0
528,1016.0
529,1023.0
530,1024.0
531,1022.0
532,1013.0
533,1011.0
534,1018.0
535,1020.0
536,1018.0
537,1016.0
538,1016.0
539,1012.0
540,1009.0
541,1011.0
542,1008.0
543,1008.0
544,1002.0
545,999.0
546,1006.0
547,1015.0
548,1024.0
549,1024.0
550,1024.0
551,1011.0
552,1017.0
553,1013.0
554,1009.0
555,1006.0
556,1005.0
557,1002.0
558,1003.0
559,999.0
560,1003.0
561,999.0
562,996.0
563,986.0
564,796.0
565,618.0
566,681.0
567,686.0
568,699.0
569,691.0
570,693.0
571,705.0
572,710.0
573,713.0
574,718.0
575,723.0
576,725.0
577,726.0
578,734.0
579,736.0
580,739.0
581,736.0
582,726.0
583,733.0
584,758.0
585,765.0
586,807.0
587,824.0
588,828.0
589,823.0
590,821.0
591,825.0
592,829.0
593,823.0
594,831.0
595,837.0
596,830.0
597,831.0
598,850.0
599,846.0
600,850.0
601,850.0
602,850.0
603,852.0
604,849.0
605,845.0
606,833.0
607,836.0
608,833.0
609,835.0
610,836.0
611,833.0
612,840.0
613,845.0
614,847.0
615,841.0
616,846.0
617,853.0
618,859.0
619,859.0
620,856.0
621,856.0
622,855.0
623,860.0
624,862.0
625,878.0
626,870.0
627,867.0
628,869.0
629,869.0
630,829.0
631,665.0
632,553.0
633,510.0
634,378.0
635,428.0
636,465.0
637,308.0
638,303.0
639,301.0
640,301.0
641,303.0
642,307.0
643,413.0
644,461.0
645,303.0
646,304.0
647,305.0
648,305.0
649,306.0
650,305.0
651,304.0
652,304.0
653,304.0
654,303.0
655,303.0
656,303.0
657,303.0
658,306.0
659,306.0
660,303.0
661,252.0
662,259.0
663,294.0
664,302.0
665,306.0
666,307.0
667,307.0
668,307.0
669,306.0
670,308.0
671,308.0
672,308.0
673,309.0
674,309.0
675,309.0
676,309.0
677,309.0
678,309.0
679,310.0
680,310.0
681,310.0
682,310.0
683,310.0
684,312.0
685,312.0
686,312.0
687,310.0
688,309.0
689,310.0
690,309.0
691,308.0
692,306.0
693,306.0
694,304.0
695,303.0
696,303.0
697,305.0
698,309.0
699,312.0
700,313.0
701,313.0
702,313.0
703,313.0
704,313.0
705,313.0
706,313.0
707,313.0
708,313.0
709,313.0
710,313.0
711,313.0
712,313.0
713,313.0
714,313.0
715,313.0
716,313.0
717,313.0
718,313.0
719,313.0
720,313.0
721,314.0
722,314.0
723,314.0
724,315.0
725,314.0
726,314.0
727,314.0
728,315.0
729,315.0
730,314.0
731,315.0
732,314.0
733,315.0
734,314.0
735,314.0
736,315.0
737,315.0
738,314.0
739,315.0
740,315.0
741,315.0
742,315.0
743,315.0
744,315.0
745,314.0
746,310.0
747,307.0
748,306.0
749,306.0
750,306.0
751,306.0
752,307.0
753,308.0
754,310.0
755,310.0
756,312.0
757,310.0
758,310.0
759,310.0
760,310.0
761,310.0
762,310.0
763,310.0
764,309.0
765,308.0
766,308.0
767,308.0
768,308.0
769,309.0
770,310.0
771,310.0
772,312.0
773,313.0
774,313.0
775,313.0
776,313.0
777,313.0
778,314.0
779,314.0
780,313.0
781,313.0
782,313.0
783,312.0
784,312.0
785,310.0
786,310.0
787,310.0
788,310.0
789,310.0
790,310.0
791,310.0
792,310.0
793,310.0
794,310.0
795,312.0
796,312.0
797,312.0
798,310.0
799,313.0
800,327.0
801,338.0
802,465.0
803,507.0
804,468.0
805,416.0
806,361.0
807,361.0
808,397.0
809,525.0
810,676.0
811,737.0
812,864.0
813,901.0
814,905.0
815,890.0
816,897.0
817,906.0
818,905.0
819,900.0
820,888.0
821,883.0
822,886.0
823,877.0
824,877.0
825,854.0
826,858.0
827,825.0
828,821.0
829,804.0
830,824.0
831,833.0
832,845.0
833,855.0
834,835.0
835,832.0
836,834.0
837,819.0
838,808.0
839,824.0
840,813.0
841,748.0
842,765.0
843,775.0
844,765.0
845,783.0
846,758.0
847,734.0
848,723.0
849,685.0
850,723.0
851,784.0
852,761.0
853,854.0
854,898.0
855,915.0
856,898.0
857,886.0
858,938.0
859,957.0
860,989.0
861,953.0
862,945.0
863,956.0
864,950.0
865,925.0
866,934.0
867,938.0
868,939.0
869,957.0
870,991.0
871,999.0
872,996.0
873,997.0
874,991.0
875,984.0
876,960.0
877,910.0
878,965.0
879,957.0
880,972.0
881,964.0
882,952.0
883,964.0
884,952.0
885,991.0
886,1003.0
887,1002.0
888,997.0
889,999.0
890,999.0
891,1004.0
892,981.0
893,979.0
894,988.0
895,970.0
896,980.0
897,964.0
898,962.0
899,938.0
900,936.0
901,930.0
902,934.0
903,933.0
904,924.0
905,934.0
906,916.0
907,933.0
908,942.0
909,949.0
910,948.0
911,952.0
912,942.0
913,940.0
914,936.0
915,937.0
916,940.0
917,944.0
918,950.0
919,945.0
920,943.0
921,928.0
922,926.0
923,925.0
924,926.0
925,924.0
926,921.0
927,928.0
928,930.0
929,926.0
930,924.0
931,927.0
932,925.0
933,919.0
934,916.0
935,929.0
936,931.0
937,950.0
938,945.0
939,964.0
940,985.0
941,998.0
942,1001.0
943,998.0
944,991.0
945,994.0
946,997.0
947,1006.0
948,1017.0
949,1023.0
950,1023.0
951,1024.0
952,1024.0
953,1024.0
954,1023.0
955,1017.0
956,1020.0
957,1021.0
958,1024.0
959,1024.0
960,1024.0
961,1024.0
962,1024.0
963,1024.0
964,1024.0
965,1024.0
966,1024.0
967,1024.0
968,1024.0
969,1024.0
970,1024.0
971,1024.0
972,992.0
973,952.0
974,943.0
975,950.0
976,955.0
977,963.0
978,963.0
979,957.0
980,961.0
981,963.0
982,962.0
983,961.0
984,967.0
985,972.0
986,975.0
987,982.0
988,986.0
989,986.0
990,986.0
991,987.0
992,985.0
993,986.0
994,986.0
995,985.0
996,987.0
997,989.0
998,987.0
999,987.0
1000,992.0
1001,993.0
1002,992.0
1003,994.0
1004,994.0
1005,994.0
1006,991.0
1007,991.0
1008,813.0
1009,446.0
1010,303.0
1011,302.0
1012,302.0
1013,321.0
1014,318.0
1015,306.0
1016,305.0
1017,303.0
1018,303.0
1019,303.0
1020,304.0
1021,304.0
1022,305.0
1023,306.0
1024,306.0
1025,306.0
1026,306.0
1027,306.0
1028,306.0
1029,306.0
1030,306.0
1031,306.0
1032,307.0
1033,306.0
1034,307.0
1035,307.0
1036,307.0
1037,307.0
1038,307.0
1039,307.0
1040,307.0
1041,307.0
1042,307.0
1043,307.0
1044,307.0
1045,307.0
1046,307.0
1047,307.0
1048,307.0
1049,313.0
1050,308.0
1051,307.0
1052,601.0
1053,841.0
1054,936.0
1055,985.0
1056,1009.0
1057,1014.0
1058,1014.0
1059,1018.0
1060,1017.0
1061,1005.0
1062,1004.0
1063,998.0
1064,999.0
1065,997.0
1066,992.0
1067,988.0
1068,987.0
1069,991.0
1070,992.0
1071,986.0
1072,982.0
1073,979.0
1074,982.0
1075,984.0
1076,977.0
1077,980.0
1078,973.0
1079,978.0
1080,985.0
1081,985.0
1082,984.0
1083,984.0
1084,978.0
1085,973.0
1086,970.0
1087,966.0
1088,963.0
1089,961.0
1090,960.0
1091,958.0
1092,960.0
1093,960.0
1094,955.0
1095,951.0
1096,952.0
1097,944.0
1098,941.0
1099,933.0
1100,930.0
1101,930.0
1102,930.0
1103,930.0
1104,924.0
1105,925.0
1106,924.0
1107,919.0
1108,919.0
1109,884.0
1110,894.0
1111,913.0
1112,871.0
1113,872.0
1114,881.0
1115,878.0
1116,876.0
1117,871.0
1118,874.0
1119,893.0
1120,898.0
1121,914.0
1122,929.0
1123,955.0
1124,924.0
1125,862.0
1126,864.0
1127,876.0
1128,868.0
1129,874.0
1130,881.0
1131,868.0
1132,903.0
1133,927.0
1134,979.0
1135,1002.0
1136,1012.0
1137,1004.0
1138,984.0
1139,985.0
1140,987.0
1141,985.0
1142,986.0
1143,980.0
1144,974.0
1145,984.0
1146,980.0
1147,957.0
1148,973.0
1149,998.0
1150,1001.0
1151,1006.0
1152,1005.0
1153,1005.0
1154,1003.0
1155,993.0
1156,996.0
1157,996.0
1158,994.0
1159,992.0
1160,994.0
1161,980.0
1162,932.0
1163,982.0
1164,1003.0
1165,970.0
1166,1005.0
1167,1003.0
1168,1004.0
1169,1012.0
1170,1003.0
1171,988.0
1172,988.0
1173,994.0
1174,999.0
1175,999.0
1176,996.0
1177,748.0
1178,516.0
1179,312.0
1180,303.0
1181,303.0
1182,304.0
1183,306.0
1184,433.0
1185,681.0
1186,744.0
1187,804.0
1188,795.0
1189,782.0
1190,781.0
1191,785.0
1192,796.0
1193,792.0
1194,786.0
1195,789.0
1196,788.0
1197,784.0
1198,783.0
1199,785.0
1200,784.0
1201,777.0
1202,774.0
1203,776.0
1204,774.0
1205,757.0
1206,657.0
1207,618.0
1208,608.0
1209,615.0
1210,616.0
1211,615.0
1212,614.0
1213,614.0
1214,619.0
1215,624.0
1216,628.0
1217,629.0
1218,629.0
1219,632.0
1220,632.0
1221,626.0
1222,626.0
1223,630.0
1224,629.0
1225,632.0
1226,638.0
1227,643.0
1228,648.0
1229,650.0
1230,651.0
1231,651.0
1232,652.0
1233,651.0
1234,653.0
1235,657.0
1236,657.0
1237,658.0
1238,665.0
1239,667.0
1240,668.0
1241,672.0
1242,679.0
1243,684.0
1244,686.0
1245,686.0
1246,690.0
1247,692.0
1248,691.0
1249,692.0
1250,693.0
1251,693.0
1252,694.0
1253,701.0
1254,706.0
1255,711.0
1256,712.0
1257,714.0
1258,714.0
1259,713.0
1260,714.0
1261,712.0
1262,634.0
1263,560.0
1264,512.0
1265,499.0
1266,496.0
1267,481.0
1268,476.0
1269,483.0
1270,487.0
1271,493.0
1272,507.0
1273,511.0
1274,509.0
1275,516.0
1276,518.0
1277,518.0
1278,521.0
1279,521.0
1280,524.0
